Time (s),Color,ROI Coordinates (x,y,w,h)
8.17,Green,(200, 55, 120, 320)
8.20,Green,(200, 55, 120, 320)
8.23,Green,(200, 55, 120, 320)
8.27,Green,(200, 55, 120, 320)
8.30,Green,(200, 55, 120, 320)
8.33,Green,(200, 55, 120, 320)
8.37,Green,(200, 55, 120, 320)
8.40,Green,(200, 55, 120, 320)
8.43,Green,(200, 55, 120, 320)
8.47,Green,(200, 55, 120, 320)
8.50,Green,(200, 55, 120, 320)
8.53,Green,(200, 55, 120, 320)
8.57,Green,(200, 55, 120, 320)
8.60,Green,(200, 55, 120, 320)
8.63,Green,(200, 55, 120, 320)
8.67,Green,(200, 55, 120, 320)
8.70,Green,(200, 55, 120, 320)
8.73,Green,(200, 55, 120, 320)
8.77,Green,(200, 55, 120, 320)
8.80,Green,(200, 55, 120, 320)
8.83,Green,(200, 55, 120, 320)
8.87,Green,(200, 55, 120, 320)
8.90,Green,(200, 55, 120, 320)
8.93,Green,(200, 55, 120, 320)
8.97,Green,(200, 55, 120, 320)
9.00,Green,(200, 55, 120, 320)
9.03,Green,(200, 55, 120, 320)
9.07,Green,(200, 55, 120, 320)
9.10,Green,(200, 55, 120, 320)
9.13,Green,(200, 55, 120, 320)
9.17,Green,(200, 55, 120, 320)
9.20,Green,(200, 55, 120, 320)
9.23,Green,(200, 55, 120, 320)
9.27,Green,(200, 55, 120, 320)
9.30,Green,(200, 55, 120, 320)
9.33,Green,(200, 55, 120, 320)
9.37,Green,(200, 55, 120, 320)
9.40,Green,(200, 55, 120, 320)
9.43,Green,(200, 55, 120, 320)
9.47,Green,(200, 55, 120, 320)
9.50,Green,(200, 55, 120, 320)
9.53,Green,(200, 55, 120, 320)
9.57,Green,(200, 55, 120, 320)
9.60,Green,(200, 55, 120, 320)
9.63,Green,(200, 55, 120, 320)
9.67,Green,(200, 55, 120, 320)
9.70,Green,(200, 55, 120, 320)
9.73,Green,(200, 55, 120, 320)
9.77,Green,(200, 55, 120, 320)
9.80,Green,(200, 55, 120, 320)
9.83,Green,(200, 55, 120, 320)
9.87,Green,(200, 55, 120, 320)
9.90,Green,(200, 55, 120, 320)
9.93,Green,(200, 55, 120, 320)
9.97,Green,(200, 55, 120, 320)
10.00,Green,(200, 55, 120, 320)
10.03,Green,(200, 55, 120, 320)
10.07,Green,(200, 55, 120, 320)
10.10,Green,(200, 55, 120, 320)
10.13,Green,(200, 55, 120, 320)
10.17,Green,(200, 55, 120, 320)
10.20,Green,(200, 55, 120, 320)
10.23,Green,(200, 55, 120, 320)
10.27,Green,(200, 55, 120, 320)
10.30,Green,(200, 55, 120, 320)
10.33,Green,(200, 55, 120, 320)
10.37,Green,(200, 55, 120, 320)
10.40,Green,(200, 55, 120, 320)
10.43,Green,(200, 55, 120, 320)
10.47,Green,(200, 55, 120, 320)
10.50,Green,(200, 55, 120, 320)
10.53,Green,(200, 55, 120, 320)
10.57,Green,(200, 55, 120, 320)
10.60,Green,(200, 55, 120, 320)
10.63,Green,(200, 55, 120, 320)
10.67,Green,(200, 55, 120, 320)
10.70,Green,(200, 55, 120, 320)
10.73,Green,(200, 55, 120, 320)
10.77,Green,(200, 55, 120, 320)
10.80,Green,(200, 55, 120, 320)
10.83,Green,(200, 55, 120, 320)
10.87,Green,(200, 55, 120, 320)
10.90,Green,(200, 55, 120, 320)
10.93,Green,(200, 55, 120, 320)
10.97,Green,(200, 55, 120, 320)
11.00,Green,(200, 55, 120, 320)
11.03,Green,(200, 55, 120, 320)
11.07,Green,(200, 55, 120, 320)
11.10,Green,(200, 55, 120, 320)
11.13,Green,(200, 55, 120, 320)
11.17,Green,(200, 55, 120, 320)
11.20,Green,(200, 55, 120, 320)
11.23,Green,(200, 55, 120, 320)
11.27,Green,(200, 55, 120, 320)
11.30,Green,(200, 55, 120, 320)
11.33,Green,(200, 55, 120, 320)
11.37,Green,(200, 55, 120, 320)
11.40,Green,(200, 55, 120, 320)
11.43,Green,(200, 55, 120, 320)
11.47,Green,(200, 55, 120, 320)
11.50,Green,(200, 55, 120, 320)
11.53,Green,(200, 55, 120, 320)
11.57,Green,(200, 55, 120, 320)
11.60,Green,(200, 55, 120, 320)
11.63,Green,(200, 55, 120, 320)
11.67,Green,(200, 55, 120, 320)
11.70,Green,(200, 55, 120, 320)
11.73,Green,(200, 55, 120, 320)
11.77,Green,(200, 55, 120, 320)
11.80,Green,(200, 55, 120, 320)
11.83,Green,(200, 55, 120, 320)
11.87,Green,(200, 55, 120, 320)
11.90,Green,(200, 55, 120, 320)
11.93,Green,(200, 55, 120, 320)
11.97,Green,(200, 55, 120, 320)
12.00,Green,(200, 55, 120, 320)
12.03,Green,(200, 55, 120, 320)
12.07,Green,(200, 55, 120, 320)
12.10,Green,(200, 55, 120, 320)
12.13,Green,(200, 55, 120, 320)
12.17,Green,(200, 55, 120, 320)
12.20,Green,(200, 55, 120, 320)
12.23,Green,(200, 55, 120, 320)
12.27,Green,(200, 55, 120, 320)
12.30,Green,(200, 55, 120, 320)
12.33,Green,(200, 55, 120, 320)
12.37,Green,(200, 55, 120, 320)
12.40,Green,(200, 55, 120, 320)
12.43,Green,(200, 55, 120, 320)
12.47,Green,(200, 55, 120, 320)
12.50,Green,(200, 55, 120, 320)
12.53,Green,(200, 55, 120, 320)
12.57,Green,(200, 55, 120, 320)
12.60,Green,(200, 55, 120, 320)
12.63,Green,(200, 55, 120, 320)
12.67,Green,(200, 55, 120, 320)
12.70,Green,(200, 55, 120, 320)
12.73,Green,(200, 55, 120, 320)
12.77,Green,(200, 55, 120, 320)
12.80,Green,(200, 55, 120, 320)
12.83,Green,(200, 55, 120, 320)
12.87,Green,(200, 55, 120, 320)
12.90,Green,(200, 55, 120, 320)
12.93,Green,(200, 55, 120, 320)
12.97,Green,(200, 55, 120, 320)
13.00,Green,(200, 55, 120, 320)
13.03,Green,(200, 55, 120, 320)
13.07,Green,(200, 55, 120, 320)
13.10,Green,(200, 55, 120, 320)
13.13,Green,(200, 55, 120, 320)
13.17,Green,(200, 55, 120, 320)
13.20,Green,(200, 55, 120, 320)
13.23,Green,(200, 55, 120, 320)
13.27,Green,(200, 55, 120, 320)
13.30,Green,(200, 55, 120, 320)
13.33,Green,(200, 55, 120, 320)
13.37,Green,(200, 55, 120, 320)
13.40,Green,(200, 55, 120, 320)
13.43,Green,(200, 55, 120, 320)
13.47,Green,(200, 55, 120, 320)
13.50,Green,(200, 55, 120, 320)
13.53,Green,(200, 55, 120, 320)
13.57,Green,(200, 55, 120, 320)
13.60,Green,(200, 55, 120, 320)
13.63,Green,(200, 55, 120, 320)
13.67,Green,(200, 55, 120, 320)
13.70,Green,(200, 55, 120, 320)
13.73,Green,(200, 55, 120, 320)
13.77,Green,(200, 55, 120, 320)
13.80,Green,(200, 55, 120, 320)
13.83,Green,(200, 55, 120, 320)
13.87,Green,(200, 55, 120, 320)
13.90,Green,(200, 55, 120, 320)
13.93,Green,(200, 55, 120, 320)
13.97,Green,(200, 55, 120, 320)
14.00,Green,(200, 55, 120, 320)
14.03,Green,(200, 55, 120, 320)
14.07,Green,(200, 55, 120, 320)
14.10,Green,(200, 55, 120, 320)
14.13,Green,(200, 55, 120, 320)
14.17,Green,(200, 55, 120, 320)
14.20,Green,(200, 55, 120, 320)
14.23,Green,(200, 55, 120, 320)
14.27,Green,(200, 55, 120, 320)
14.30,Green,(200, 55, 120, 320)
14.33,Green,(200, 55, 120, 320)
14.37,Green,(200, 55, 120, 320)
14.40,Green,(200, 55, 120, 320)
14.43,Green,(200, 55, 120, 320)
14.47,Green,(200, 55, 120, 320)
14.50,Green,(200, 55, 120, 320)
14.53,Green,(200, 55, 120, 320)
14.57,Green,(200, 55, 120, 320)
14.60,Green,(200, 55, 120, 320)
14.63,Green,(200, 55, 120, 320)
14.67,Green,(200, 55, 120, 320)
14.70,Green,(200, 55, 120, 320)
14.73,Green,(200, 55, 120, 320)
14.77,Green,(200, 55, 120, 320)
14.80,Green,(200, 55, 120, 320)
14.83,Green,(200, 55, 120, 320)
14.87,Green,(200, 55, 120, 320)
14.90,Green,(200, 55, 120, 320)
14.93,Green,(200, 55, 120, 320)
14.97,Green,(200, 55, 120, 320)
15.00,Green,(200, 55, 120, 320)
15.03,Green,(200, 55, 120, 320)
15.07,Green,(200, 55, 120, 320)
15.10,Green,(200, 55, 120, 320)
15.13,Green,(200, 55, 120, 320)
15.17,Green,(200, 55, 120, 320)
15.20,Green,(200, 55, 120, 320)
15.23,Green,(200, 55, 120, 320)
15.27,Green,(200, 55, 120, 320)
15.30,Green,(200, 55, 120, 320)
15.33,Green,(200, 55, 120, 320)
15.37,Green,(200, 55, 120, 320)
15.53,Red,(200, 55, 120, 320)
15.57,Red,(200, 55, 120, 320)
15.60,Red,(200, 55, 120, 320)
15.63,Yellow,(200, 55, 120, 320)
15.67,Yellow,(200, 55, 120, 320)
15.70,Yellow,(200, 55, 120, 320)
15.73,Yellow,(200, 55, 120, 320)
15.77,Yellow,(200, 55, 120, 320)
15.80,Yellow,(200, 55, 120, 320)
15.83,Yellow,(200, 55, 120, 320)
15.87,Yellow,(200, 55, 120, 320)
15.90,Yellow,(200, 55, 120, 320)
15.93,Yellow,(200, 55, 120, 320)
15.97,Yellow,(200, 55, 120, 320)
16.00,Yellow,(200, 55, 120, 320)
16.03,Yellow,(200, 55, 120, 320)
16.07,Yellow,(200, 55, 120, 320)
16.10,Yellow,(200, 55, 120, 320)
16.13,Yellow,(200, 55, 120, 320)
16.17,Yellow,(200, 55, 120, 320)
16.20,Yellow,(200, 55, 120, 320)
16.23,Yellow,(200, 55, 120, 320)
16.27,Yellow,(200, 55, 120, 320)
16.30,Yellow,(200, 55, 120, 320)
16.33,Yellow,(200, 55, 120, 320)
16.37,Yellow,(200, 55, 120, 320)
16.40,Yellow,(200, 55, 120, 320)
16.43,Yellow,(200, 55, 120, 320)
16.47,Yellow,(200, 55, 120, 320)
16.50,Yellow,(200, 55, 120, 320)
16.53,Yellow,(200, 55, 120, 320)
16.57,Yellow,(200, 55, 120, 320)
16.60,Yellow,(200, 55, 120, 320)
16.63,Yellow,(200, 55, 120, 320)
16.67,Yellow,(200, 55, 120, 320)
16.70,Yellow,(200, 55, 120, 320)
16.73,Yellow,(200, 55, 120, 320)
16.77,Yellow,(200, 55, 120, 320)
16.80,Yellow,(200, 55, 120, 320)
16.83,Yellow,(200, 55, 120, 320)
16.87,Yellow,(200, 55, 120, 320)
16.90,Yellow,(200, 55, 120, 320)
16.93,Yellow,(200, 55, 120, 320)
16.97,Yellow,(200, 55, 120, 320)
17.00,Yellow,(200, 55, 120, 320)
17.03,Yellow,(200, 55, 120, 320)
17.07,Yellow,(200, 55, 120, 320)
17.10,Yellow,(200, 55, 120, 320)
17.13,Yellow,(200, 55, 120, 320)
